date,deaths_occurred,deaths_reported,cases
20-1-13,0,0,0
20-1-29,0,0,0
20-2-24,0,0,0
20-2-27,0,0,0
20-2-28,0,0,1
20-2-29,0,0,0
20-3-2,0,0,1
20-3-4,0,0,2
20-3-5,0,0,0
20-3-7,0,0,0
20-3-8,0,0,2
20-3-9,0,0,1
20-3-10,0,0,2
20-3-11,0,0,2
20-3-12,0,0,3
20-3-13,0,0,12
20-3-14,0,0,4
20-3-15,0,0,10
20-3-16,0,0,6
20-3-17,0,0,7
20-3-18,1,0,6
20-3-19,0,0,13
20-3-20,0,0,10
20-3-21,0,0,5
20-3-22,0,0,5
20-3-23,0,0,15
20-3-24,0,0,23
20-3-25,0,0,26
20-3-26,0,0,27
20-3-27,0,0,43
20-3-28,4,0,27
20-3-29,1,0,18
20-3-30,1,0,55
20-3-31,2,0,34
20-4-1,1,0,50
20-4-2,5,0,50
20-4-3,3,0,51
20-4-4,5,0,34
20-4-5,5,0,41
20-4-6,4,0,84
20-4-7,10,0,73
20-4-8,6,0,88
20-4-9,5,0,62
20-4-10,7,0,94
20-4-11,13,0,78
20-4-12,17,0,84
20-4-13,19,0,157
20-4-14,16,0,161
20-4-15,18,0,185
20-4-16,18,0,190
20-4-17,23,0,161
20-4-18,28,0,159
20-4-19,27,84,155
20-4-20,37,7,264
20-4-21,38,29,284
20-4-22,40,15,252
20-4-23,37,14,274
20-4-24,54,11,312
20-4-25,48,9,197
20-4-26,68,8,214
20-4-27,51,17,366
20-4-28,59,20,349
20-4-29,72,24,323
20-4-30,65,43,303
20-5-1,78,16,276
20-5-2,66,12,235
20-5-3,65,13,252
20-5-4,94,7,498
20-5-5,67,41,352
20-5-6,58,36,352
20-5-7,66,45,446
20-5-8,64,31,436
20-5-9,64,32,267
20-5-10,65,19,254
20-5-11,71,19,594
20-5-12,59,53,548
20-5-13,87,67,586
20-5-14,74,38,542
20-5-15,94,28,627
20-5-16,87,43,370
20-5-17,103,18,325
20-5-18,93,28,705
20-5-19,101,34,586
20-5-20,82,88,663
20-5-21,102,87,691
20-5-22,100,179,713
20-5-23,88,29,328
20-5-24,108,13,370
20-5-25,106,24,809
20-5-26,116,98,706
20-5-27,103,79,776
20-5-28,100,61,700
20-5-29,104,70,709
20-5-30,113,70,401
20-5-31,112,13,339
20-6-1,113,28,856
20-6-2,100,80,811
20-6-3,126,201,939
20-6-4,110,206,801
20-6-5,103,93,816
20-6-6,110,51,411
20-6-7,118,29,423
20-6-8,118,90,1062
20-6-9,131,92,893
20-6-10,119,138,901
20-6-11,123,90,749
20-6-12,111,111,751
20-6-13,108,59,375
20-6-14,106,20,379
20-6-15,126,95,882
20-6-16,131,142,868
20-6-17,115,152,776
20-6-18,96,146,753
20-6-19,115,138,755
20-6-20,81,53,377
20-6-21,88,560,258
20-6-22,98,303,765
20-6-23,90,133,666
20-6-24,83,216,704
20-6-25,72,183,593
20-6-26,85,169,695
20-6-27,94,151,282
20-6-28,93,13,271
20-6-29,125,72,831
20-6-30,89,175,634
20-7-1,89,167,840
20-7-2,98,90,658
20-7-3,63,111,684
20-7-4,73,46,333
20-7-5,88,14,264
20-7-6,113,106,734
20-7-7,79,167,651
20-7-8,88,122,663
20-7-9,82,96,516
20-7-10,77,82,689
20-7-11,95,58,262
20-7-12,75,18,226
20-7-13,67,75,675
20-7-14,77,149,595
20-7-15,79,86,705
20-7-16,89,104,613
20-7-17,72,98,619
20-7-18,78,49,280
20-7-19,84,25,272
20-7-20,70,38,791
20-7-21,72,142,769
20-7-22,62,113,707
20-7-23,69,105,578
20-7-24,68,71,589
20-7-25,74,71,235
20-7-26,66,29,194
20-7-27,71,18,687
20-7-28,57,98,589
20-7-29,62,51,647
20-7-30,59,61,548
20-7-31,59,76,538
20-8-1,69,129,256
20-8-2,59,17,209
20-8-3,66,29,644
20-8-4,63,90,616
20-8-5,61,87,577
20-8-6,66,79,513
20-8-7,46,119,542
20-8-8,48,53,227
20-8-9,64,8,181
20-8-10,73,57,612
20-8-11,49,112,516
20-8-12,50,71,519
20-8-13,53,59,502
20-8-14,53,74,458
20-8-15,49,67,233
20-8-16,56,8,147
20-8-17,48,40,551
20-8-18,49,95,553
20-8-19,59,90,448
20-8-20,39,74,456
20-8-21,51,59,497
20-8-22,44,66,210
20-8-23,57,9,195
20-8-24,45,22,533
20-8-25,41,89,538
20-8-26,36,78,456
20-8-27,54,62,474
20-8-28,56,68,504
20-8-29,44,51,212
20-8-30,42,20,141
20-8-31,43,18,569
20-9-1,44,74,508
20-9-2,51,69,557
20-9-3,50,48,434
20-9-4,33,60,490
20-9-5,43,53,210
20-9-6,57,7,146
20-9-7,46,29,520
20-9-8,33,90,488
20-9-9,42,107,463
20-9-10,34,60,481
20-9-11,44,65,466
20-9-12,46,50,193
20-9-13,34,38,163
20-9-14,29,36,537
20-9-15,44,120,286
20-9-16,46,18,143
20-9-17,36,21,452
20-9-18,37,87,554
20-9-19,48,57,180
20-9-20,49,19,162
20-9-21,41,24,488
20-9-22,49,153,395
20-9-23,53,72,396
20-9-24,32,75,348
20-9-25,32,62,305
20-9-26,28,65,84
20-9-27,25,11,58
20-9-28,20,21,84
20-9-29,4,55,16
20-9-30,0,50,3
